dataset,method,signature_id,T_total,T_train,T_val,T_test,param,seed,test_n_alerts,test_has_alert,test_detected,test_precision,test_recall,test_f1,test_far,test_storage_reduc,test_tp_iv,test_fp_iv,test_tp_al,test_fn_al,test_mean_delay,test_n_on
firefox-android,"ARIMA(1,1,1)",4654070,690,414,138,138,0.3,,0,False,False,0.0,0.0,0.0,0.07971,0.9203,0,11,0,0,,11
firefox-android,"ARIMA(1,1,1)",4654071,690,414,138,138,0.3,,1,True,False,0.0,0.0,0.0,0.065217,0.913,0,9,0,1,,12
firefox-android,"ARIMA(1,1,1)",4654072,690,414,138,138,0.3,,2,True,True,0.1,1.0,0.1818,0.065217,0.8986,1,9,2,0,0.5,14
firefox-android,"ARIMA(1,1,1)",4654074,690,414,138,138,0.3,,1,True,False,0.0,0.0,0.0,0.065217,0.8551,0,9,0,1,,20
firefox-android,"ARIMA(1,1,1)",4654076,690,414,138,138,0.3,,1,True,False,0.0,0.0,0.0,0.072464,0.8913,0,10,0,1,,15
firefox-android,"ARIMA(1,1,1)",4654149,687,412,137,138,0.3,,0,False,False,0.0,0.0,0.0,0.07971,0.8913,0,11,0,0,,15
firefox-android,"ARIMA(1,1,1)",4654330,685,411,137,137,0.3,,0,False,False,0.0,0.0,0.0,0.036496,0.9416,0,5,0,0,,8
firefox-android,"ARIMA(1,1,1)",4654331,685,411,137,137,0.3,,0,False,False,0.0,0.0,0.0,0.036496,0.9416,0,5,0,0,,8
firefox-android,"ARIMA(1,1,1)",4654332,685,411,137,137,0.3,,0,False,False,0.0,0.0,0.0,0.051095,0.9489,0,7,0,0,,7
firefox-android,"ARIMA(1,1,1)",4654333,685,411,137,137,0.3,,0,False,False,0.0,0.0,0.0,0.043796,0.9489,0,6,0,0,,7
firefox-android,"ARIMA(1,1,1)",4654334,685,411,137,137,0.3,,0,False,False,0.0,0.0,0.0,0.036496,0.9343,0,5,0,0,,9
firefox-android,"ARIMA(1,1,1)",4654336,685,411,137,137,0.3,,0,False,False,0.0,0.0,0.0,0.072993,0.9051,0,10,0,0,,13
firefox-android,"ARIMA(1,1,1)",4654338,685,411,137,137,0.3,,0,False,False,0.0,0.0,0.0,0.051095,0.9489,0,7,0,0,,7
firefox-android,"ARIMA(1,1,1)",4654339,685,411,137,137,0.3,,0,False,False,0.0,0.0,0.0,0.094891,0.8467,0,13,0,0,,21
firefox-android,"ARIMA(1,1,1)",4654340,685,411,137,137,0.3,,0,False,False,0.0,0.0,0.0,0.109489,0.8248,0,15,0,0,,24
firefox-android,"ARIMA(1,1,1)",4654341,685,411,137,137,0.3,,1,True,False,0.0,0.0,0.0,0.051095,0.8759,0,7,0,1,,17
firefox-android,"ARIMA(1,1,1)",4654342,685,411,137,137,0.3,,1,True,True,0.2222,1.0,0.3636,0.051095,0.8467,2,7,1,0,-4.0,21
firefox-android,"ARIMA(1,1,1)",4654343,685,411,137,137,0.3,,1,True,False,0.0,0.0,0.0,0.065693,0.9051,0,9,0,1,,13
firefox-android,"ARIMA(1,1,1)",4654345,685,411,137,137,0.3,,0,False,False,0.0,0.0,0.0,0.094891,0.9051,0,13,0,0,,13
firefox-android,"ARIMA(1,1,1)",4654347,685,411,137,137,0.3,,2,True,True,0.2222,0.5,0.3077,0.051095,0.8832,2,7,1,1,-2.0,16
firefox-android,"ARIMA(1,1,1)",4654095,674,404,135,135,0.3,,0,False,False,0.0,0.0,0.0,0.044444,0.9556,0,6,0,0,,6
firefox-android,"ARIMA(1,1,1)",4654096,674,404,135,135,0.3,,0,False,False,0.0,0.0,0.0,0.044444,0.9556,0,6,0,0,,6
firefox-android,"ARIMA(1,1,1)",4654097,674,404,135,135,0.3,,0,False,False,0.0,0.0,0.0,0.037037,0.9333,0,5,0,0,,9
firefox-android,"ARIMA(1,1,1)",4654098,674,404,135,135,0.3,,0,False,False,0.0,0.0,0.0,0.037037,0.963,0,5,0,0,,5
firefox-android,"ARIMA(1,1,1)",4654099,674,404,135,135,0.3,,0,False,False,0.0,0.0,0.0,0.044444,0.9556,0,6,0,0,,6
firefox-android,"ARIMA(1,1,1)",4654101,674,404,135,135,0.3,,1,True,True,0.1111,1.0,0.2,0.059259,0.8815,1,8,1,0,-6.0,16
firefox-android,"ARIMA(1,1,1)",4654103,674,404,135,135,0.3,,0,False,False,0.0,0.0,0.0,0.051852,0.9111,0,7,0,0,,12
firefox-android,"ARIMA(1,1,1)",4654104,674,404,135,135,0.3,,1,True,True,0.2,1.0,0.3333,0.02963,0.9037,1,4,1,0,-5.0,13
firefox-android,"ARIMA(1,1,1)",4654105,674,404,135,135,0.3,,1,True,True,0.1667,1.0,0.2857,0.037037,0.8963,1,5,1,0,-5.0,14
firefox-android,"ARIMA(1,1,1)",4654106,674,404,135,135,0.3,,0,False,False,0.0,0.0,0.0,0.103704,0.8815,0,14,0,0,,16
firefox-android,"ARIMA(1,1,1)",4654107,674,404,135,135,0.3,,1,True,True,0.1667,1.0,0.2857,0.037037,0.8963,1,5,1,0,-5.0,14
firefox-android,"ARIMA(1,1,1)",4654108,674,404,135,135,0.3,,1,True,True,0.125,1.0,0.2222,0.051852,0.8815,1,7,1,0,-5.0,16
firefox-android,"ARIMA(1,1,1)",4654110,674,404,135,135,0.3,,0,False,False,0.0,0.0,0.0,0.081481,0.8815,0,11,0,0,,16
firefox-android,"ARIMA(1,1,1)",4654112,674,404,135,135,0.3,,0,False,False,0.0,0.0,0.0,0.088889,0.8667,0,12,0,0,,18
firefox-android,"ARIMA(1,1,1)",4653699,670,402,134,134,0.3,,1,True,True,0.2,1.0,0.3333,0.029851,0.903,1,4,1,0,-9.0,13
firefox-android,"ARIMA(1,1,1)",4653700,670,402,134,134,0.3,,1,True,False,0.0,0.0,0.0,0.052239,0.9254,0,7,0,1,,10
firefox-android,"ARIMA(1,1,1)",4653701,670,402,134,134,0.3,,1,True,True,0.2,1.0,0.3333,0.029851,0.9179,1,4,1,0,-9.0,11
firefox-android,"ARIMA(1,1,1)",4653702,670,402,134,134,0.3,,1,True,True,0.25,1.0,0.4,0.022388,0.9254,1,3,1,0,-9.0,10
firefox-android,"ARIMA(1,1,1)",4653705,670,402,134,134,0.3,,1,True,True,0.2,1.0,0.3333,0.029851,0.9104,1,4,1,0,-9.0,12
firefox-android,"ARIMA(1,1,1)",4653708,670,402,134,134,0.3,,0,False,False,0.0,0.0,0.0,0.037313,0.9627,0,5,0,0,,5
firefox-android,"ARIMA(1,1,1)",4653709,670,402,134,134,0.3,,0,False,False,0.0,0.0,0.0,0.052239,0.9328,0,7,0,0,,9
firefox-android,"ARIMA(1,1,1)",4653710,670,402,134,134,0.3,,0,False,False,0.0,0.0,0.0,0.067164,0.9179,0,9,0,0,,11
firefox-android,"ARIMA(1,1,1)",4653711,670,402,134,134,0.3,,0,False,False,0.0,0.0,0.0,0.052239,0.9328,0,7,0,0,,9
firefox-android,"ARIMA(1,1,1)",4653714,670,402,134,134,0.3,,0,False,False,0.0,0.0,0.0,0.059701,0.8806,0,8,0,0,,16
firefox-android,"ARIMA(1,1,1)",4653716,670,402,134,134,0.3,,1,True,True,0.1429,1.0,0.25,0.044776,0.903,1,6,1,0,0.0,13
firefox-android,"ARIMA(1,1,1)",4654023,660,396,132,132,0.3,,1,True,False,0.0,0.0,0.0,0.030303,0.9242,0,4,0,1,,10
firefox-android,"ARIMA(1,1,1)",4654024,660,396,132,132,0.3,,1,True,False,0.0,0.0,0.0,0.037879,0.9394,0,5,0,1,,8
firefox-android,"ARIMA(1,1,1)",4654025,660,396,132,132,0.3,,1,True,False,0.0,0.0,0.0,0.037879,0.8864,0,5,0,1,,15
firefox-android,"ARIMA(1,1,1)",4654026,660,396,132,132,0.3,,1,True,False,0.0,0.0,0.0,0.05303,0.9242,0,7,0,1,,10
firefox-android,"ARIMA(1,1,1)",4654027,660,396,132,132,0.3,,1,True,False,0.0,0.0,0.0,0.045455,0.9167,0,6,0,1,,11
firefox-android,"ARIMA(1,1,1)",4654029,660,396,132,132,0.3,,0,False,False,0.0,0.0,0.0,0.060606,0.8939,0,8,0,0,,14
firefox-android,"ARIMA(1,1,1)",4654032,660,396,132,132,0.3,,0,False,False,0.0,0.0,0.0,0.060606,0.9015,0,8,0,0,,13
firefox-android,"ARIMA(1,1,1)",4654033,660,396,132,132,0.3,,0,False,False,0.0,0.0,0.0,0.045455,0.9167,0,6,0,0,,11
firefox-android,"ARIMA(1,1,1)",4654034,660,396,132,132,0.3,,0,False,False,0.0,0.0,0.0,0.068182,0.8788,0,9,0,0,,16
firefox-android,"ARIMA(1,1,1)",4654035,660,396,132,132,0.3,,0,False,False,0.0,0.0,0.0,0.037879,0.9015,0,5,0,0,,13
firefox-android,"ARIMA(1,1,1)",4654036,660,396,132,132,0.3,,0,False,False,0.0,0.0,0.0,0.068182,0.8636,0,9,0,0,,18
firefox-android,"ARIMA(1,1,1)",4654038,660,396,132,132,0.3,,0,False,False,0.0,0.0,0.0,0.05303,0.9318,0,7,0,0,,9
firefox-android,"ARIMA(1,1,1)",4654040,660,396,132,132,0.3,,0,False,False,0.0,0.0,0.0,0.068182,0.9091,0,9,0,0,,12
firefox-android,"ARIMA(1,1,1)",4654131,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.053846,0.9308,0,7,0,0,,9
firefox-android,"ARIMA(1,1,1)",4654132,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.076923,0.9231,0,10,0,0,,10
firefox-android,"ARIMA(1,1,1)",4654133,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.038462,0.9462,0,5,0,0,,7
firefox-android,"ARIMA(1,1,1)",4654134,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.053846,0.9231,0,7,0,0,,10
firefox-android,"ARIMA(1,1,1)",4654135,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.030769,0.9538,0,4,0,0,,6
firefox-android,"ARIMA(1,1,1)",4654137,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.084615,0.8538,0,11,0,0,,19
firefox-android,"ARIMA(1,1,1)",4654139,653,392,131,130,0.3,,1,True,True,0.1667,1.0,0.2857,0.038462,0.9077,1,5,1,0,1.0,12
firefox-android,"ARIMA(1,1,1)",4654140,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.061538,0.8846,0,8,0,0,,15
firefox-android,"ARIMA(1,1,1)",4654141,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.076923,0.9,0,10,0,0,,13
firefox-android,"ARIMA(1,1,1)",4654142,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.030769,0.9692,0,4,0,0,,4
firefox-android,"ARIMA(1,1,1)",4654144,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.046154,0.9077,0,6,0,0,,12
firefox-android,"ARIMA(1,1,1)",4654146,653,392,131,130,0.3,,0,False,False,0.0,0.0,0.0,0.084615,0.8462,0,11,0,0,,20
firefox-android,"ARIMA(1,1,1)",4654148,653,392,131,130,0.3,,1,True,True,0.1,1.0,0.1818,0.069231,0.9077,1,9,1,0,1.0,12
firefox-android,"ARIMA(1,1,1)",4654113,646,388,129,129,0.3,,0,False,False,0.0,0.0,0.0,0.03876,0.938,0,5,0,0,,8
firefox-android,"ARIMA(1,1,1)",4654114,646,388,129,129,0.3,,1,True,False,0.0,0.0,0.0,0.031008,0.907,0,4,0,1,,12
firefox-android,"ARIMA(1,1,1)",4654115,646,388,129,129,0.3,,1,True,True,0.3333,1.0,0.5,0.031008,0.907,2,4,1,0,-2.0,12
firefox-android,"ARIMA(1,1,1)",4654116,646,388,129,129,0.3,,1,True,False,0.0,0.0,0.0,0.03876,0.9457,0,5,0,1,,7
firefox-android,"ARIMA(1,1,1)",4654117,646,388,129,129,0.3,,1,True,True,0.2,1.0,0.3333,0.031008,0.938,1,4,1,0,2.0,8
firefox-android,"ARIMA(1,1,1)",4654119,646,388,129,129,0.3,,0,False,False,0.0,0.0,0.0,0.069767,0.8682,0,9,0,0,,17
firefox-android,"ARIMA(1,1,1)",4654121,646,388,129,129,0.3,,1,True,False,0.0,0.0,0.0,0.03876,0.9612,0,5,0,1,,5
firefox-android,"ARIMA(1,1,1)",4654122,646,388,129,129,0.3,,1,True,True,0.1818,1.0,0.3077,0.069767,0.8605,2,9,1,0,1.0,18
firefox-android,"ARIMA(1,1,1)",4654123,646,388,129,129,0.3,,0,False,False,0.0,0.0,0.0,0.069767,0.8915,0,9,0,0,,14
firefox-android,"ARIMA(1,1,1)",4654124,646,388,129,129,0.3,,2,True,True,0.3333,1.0,0.5,0.031008,0.814,2,4,2,0,-2.0,24
firefox-android,"ARIMA(1,1,1)",4654125,646,388,129,129,0.3,,1,True,True,0.1,1.0,0.1818,0.069767,0.7907,1,9,1,0,0.0,27
firefox-android,"ARIMA(1,1,1)",4654126,646,388,129,129,0.3,,1,True,True,0.2,1.0,0.3333,0.031008,0.8605,1,4,1,0,0.0,18
firefox-android,"ARIMA(1,1,1)",4654128,646,388,129,129,0.3,,0,False,False,0.0,0.0,0.0,0.054264,0.9302,0,7,0,0,,9
firefox-android,"ARIMA(1,1,1)",4654130,646,388,129,129,0.3,,0,False,False,0.0,0.0,0.0,0.054264,0.907,0,7,0,0,,12
firefox-android,"ARIMA(1,1,1)",4654654,643,386,129,128,0.3,,1,True,True,0.125,1.0,0.2222,0.054688,0.8906,1,7,1,0,0.0,14
firefox-android,"ARIMA(1,1,1)",4654655,643,386,129,128,0.3,,1,True,True,0.1667,1.0,0.2857,0.039062,0.9375,1,5,1,0,0.0,8
firefox-android,"ARIMA(1,1,1)",4654656,643,386,129,128,0.3,,0,False,False,0.0,0.0,0.0,0.039062,0.9609,0,5,0,0,,5
firefox-android,"ARIMA(1,1,1)",4654657,643,386,129,128,0.3,,1,True,True,0.25,1.0,0.4,0.046875,0.9141,2,6,1,0,0.0,11
firefox-android,"ARIMA(1,1,1)",4654658,643,386,129,128,0.3,,1,True,True,0.1429,1.0,0.25,0.046875,0.9141,1,6,1,0,0.0,11
firefox-android,"ARIMA(1,1,1)",4654660,643,386,129,128,0.3,,0,False,False,0.0,0.0,0.0,0.0625,0.9141,0,8,0,0,,11
firefox-android,"ARIMA(1,1,1)",4654662,643,386,129,128,0.3,,0,False,False,0.0,0.0,0.0,0.054688,0.8984,0,7,0,0,,13
firefox-android,"ARIMA(1,1,1)",4654663,643,386,129,128,0.3,,0,False,False,0.0,0.0,0.0,0.070312,0.8672,0,9,0,0,,17
firefox-android,"ARIMA(1,1,1)",4654664,643,386,129,128,0.3,,0,False,False,0.0,0.0,0.0,0.070312,0.8672,0,9,0,0,,17
firefox-android,"ARIMA(1,1,1)",4654665,643,386,129,128,0.3,,0,False,False,0.0,0.0,0.0,0.125,0.8281,0,16,0,0,,22
firefox-android,"ARIMA(1,1,1)",4654666,643,386,129,128,0.3,,0,False,False,0.0,0.0,0.0,0.078125,0.8594,0,10,0,0,,18
firefox-android,"ARIMA(1,1,1)",4654667,643,386,129,128,0.3,,0,False,False,0.0,0.0,0.0,0.085938,0.8594,0,11,0,0,,18
