protocol,dataset,contrast,comparator,metric,n_pairs,n_nonzero_pairs,transformer_mean,classical_mean,mean_paired_difference,median_paired_difference,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_reps,wilcoxon_statistic,p_value_raw,rank_biserial,positive_difference_pct,zero_difference_pct,difference_definition,better_direction,p_value_holm,significant_holm_0_05
canonical_shared_gate,mozilla-beta,Transformer - SMA,SMA(w=20),f1,1477,378,0.07886900473933649,0.0846911306702776,-0.005822125930941097,0.0,-0.010963472918077186,-0.0005554207853757646,10000,25892.0,3.0368945265866617e-06,-0.2770727757535145,9.81719702098849,74.40758293838863,Transformer minus classical,positive,1.822136715951997e-05,True
canonical_shared_gate,mozilla-beta,Transformer - SMA,SMA(w=20),far,1477,1448,0.06413949140148952,0.05908943263371699,0.005050058767772512,0.0053688,0.0037370899153689914,0.006303842755585647,10000,368907.0,1.381238353633158e-22,0.2967010969653295,62.288422477995944,1.9634394041976981,Transformer minus classical,negative,9.668668475432105e-22,True
canonical_shared_gate,mozilla-beta,Transformer - EWMA,EWMA(a=0.05),precision,1477,375,0.053937616790792155,0.0570127962085308,-0.00307517941773866,0.0,-0.008282526066350712,0.0022716015572105605,10000,26620.0,3.981285285112919e-05,-0.244822695035461,10.29113067027759,74.61069735951253,Transformer minus classical,positive,0.00015925141140451675,True
canonical_shared_gate,mozilla-beta,Transformer - EWMA,EWMA(a=0.05),recall,1477,68,0.23475513879485443,0.23628984427894378,-0.00153470548408937,0.0,-0.00835034529451591,0.005122898781313474,10000,1168.5,0.9779948630889483,-0.0038363171355498722,2.2342586323628977,95.3960731211916,Transformer minus classical,positive,0.9779948630889483,False
canonical_shared_gate,mozilla-beta,Transformer - EWMA,EWMA(a=0.05),f1,1477,375,0.07886900473933649,0.08297596479350035,-0.004106960054163847,0.0,-0.009160166215301288,0.0011751194989844257,10000,26663.0,4.3493645534221785e-05,-0.24360283687943263,10.42654028436019,74.61069735951253,Transformer minus classical,positive,0.00015925141140451675,True
canonical_shared_gate,mozilla-beta,Transformer - EWMA,EWMA(a=0.05),far,1477,1442,0.06413949140148952,0.059159270142180094,0.004980221259309411,0.005234999999999999,0.0036973283886255924,0.006251933446174677,10000,362769.0,2.414821350748774e-23,0.3026375356472444,62.08530805687204,2.3696682464454977,Transformer minus classical,negative,1.9318570805990193e-22,True
detector_specific_gate,firefox-android,Transformer - SMA,SMA(w=40),precision,342,101,0.11447766081871344,0.1929581871345029,-0.07848052631578947,0.0,-0.10626330409356725,-0.05149796783625733,10000,956.5,4.126766247457709e-08,-0.6286158027567462,7.602339181286549,70.46783625730994,Transformer minus classical,positive,2.8887363732203963e-07,True
detector_specific_gate,firefox-android,Transformer - SMA,SMA(w=40),recall,342,41,0.2453216374269006,0.2719298245614035,-0.026608187134502925,0.0,-0.05672514619883041,0.0026315789473684197,10000,311.0,0.1141436387966381,-0.2775842044134727,3.508771929824561,88.01169590643275,Transformer minus classical,positive,0.1663810648887309,False
detector_specific_gate,firefox-android,Transformer - SMA,SMA(w=40),f1,342,101,0.1462160233918129,0.21384385964912284,-0.06762783625730995,0.0,-0.09445171637426901,-0.04117163596491228,10000,1082.0,4.19676149002903e-07,-0.5798874005047564,7.309941520467836,70.46783625730994,Transformer minus classical,positive,2.518056894017418e-06,True
detector_specific_gate,firefox-android,Transformer - SMA,SMA(w=40),far,342,324,0.01878520350877193,0.010181961988304095,0.008603241520467838,0.0080649,0.006844829678362573,0.010392216432748536,10000,11363.5,7.556705338462592e-19,0.568338081671415,68.12865497076024,5.263157894736842,Transformer minus classical,negative,6.045364270770074e-18,True
detector_specific_gate,firefox-android,Transformer - EWMA,EWMA(a=0.05),precision,342,101,0.11447766081871344,0.17956315789473684,-0.0650854970760234,0.0,-0.09154469444444444,-0.03887235672514621,10000,1189.0,2.625442156545088e-06,-0.5383420695010678,9.35672514619883,70.46783625730994,Transformer minus classical,positive,1.312721078272544e-05,True
detector_specific_gate,firefox-android,Transformer - EWMA,EWMA(a=0.05),recall,342,38,0.2453216374269006,0.2719298245614035,-0.026608187134502925,0.0,-0.053216374269005856,0.0005847953216374281,10000,253.0,0.08319053244436544,-0.31713900134952766,2.923976608187134,88.88888888888889,Transformer minus classical,positive,0.1663810648887309,False
detector_specific_gate,firefox-android,Transformer - EWMA,EWMA(a=0.05),f1,342,101,0.1462160233918129,0.2031476608187134,-0.056931637426900585,0.0,-0.08251198538011696,-0.03206186988304095,10000,1190.0,2.674841780655243e-06,-0.5379537953795379,8.47953216374269,70.46783625730994,Transformer minus classical,positive,1.312721078272544e-05,True
detector_specific_gate,firefox-android,Transformer - EWMA,EWMA(a=0.05),far,342,322,0.01878520350877193,0.014868774853801172,0.00391642865497076,0.003265800000000001,0.002109193011695907,0.005757848216374269,10000,19560.5,0.00011688443512243782,0.24771647789550602,57.01754385964912,5.847953216374268,Transformer minus classical,negative,0.0003506533053673135,True
detector_specific_gate,mozilla-beta,Transformer - SMA,SMA(w=20),precision,1477,371,0.07127275558564658,0.0881529451591063,-0.016880189573459718,0.0,-0.025562796547054838,-0.008342030805687206,10000,25771.0,2.395123893006592e-05,-0.2530794423673304,10.90047393364929,74.88151658767772,Transformer minus classical,positive,9.580495572026368e-05,True
detector_specific_gate,mozilla-beta,Transformer - SMA,SMA(w=20),recall,1477,141,0.24741593771157747,0.17276012186865267,0.07465581584292484,0.0,0.06201760324983074,0.08788196750169261,10000,163.0,7.4346712098151975e-25,0.9674358205973429,9.07244414353419,90.4536222071767,Transformer minus classical,positive,3.731204895747574e-24,True
detector_specific_gate,mozilla-beta,Transformer - SMA,SMA(w=20),f1,1477,371,0.10074226134055518,0.11017352742044684,-0.00943126607989167,0.0,-0.018094845294515906,-0.0005983232904536274,10000,29337.5,0.01245418612129385,-0.14971161927948295,10.765064319566688,74.88151658767772,Transformer minus classical,positive,0.0249083722425877,True
detector_specific_gate,mozilla-beta,Transformer - SMA,SMA(w=20),far,1477,1452,0.037396365876777256,0.012655192958700068,0.024741172918077182,0.0256756,0.02367266844955992,0.025853674955991876,10000,51248.5,4.0619637972863505e-195,0.9028352093796629,86.66215301286393,1.6926201760324981,Transformer minus classical,negative,3.2495710378290804e-194,True
detector_specific_gate,mozilla-beta,Transformer - EWMA,EWMA(a=0.05),precision,1477,372,0.07127275558564658,0.08784346648612051,-0.01657071090047393,0.0,-0.025341600203114423,-0.007795574813811786,10000,26013.5,2.911972337870281e-05,-0.2500936896422497,10.90047393364929,74.81381178063643,Transformer minus classical,positive,9.580495572026368e-05,True
detector_specific_gate,mozilla-beta,Transformer - EWMA,EWMA(a=0.05),recall,1477,144,0.24741593771157747,0.1741706838185511,0.0732452538930264,0.0,0.06049417704807042,0.0862673259986459,10000,199.0,6.218674826245957e-25,0.9618773946360153,9.140148950575492,90.25050778605281,Transformer minus classical,positive,3.731204895747574e-24,True
detector_specific_gate,mozilla-beta,Transformer - EWMA,EWMA(a=0.05),f1,1477,373,0.10074226134055518,0.10891550440081246,-0.008173243060257277,0.0,-0.017094046716316858,0.000784136425186188,10000,29888.5,0.01669739074760082,-0.14299436567217674,10.90047393364929,74.74610697359513,Transformer minus classical,positive,0.0249083722425877,True
detector_specific_gate,mozilla-beta,Transformer - EWMA,EWMA(a=0.05),far,1477,1451,0.037396365876777256,0.013661153689911982,0.023735212186865265,0.0256096,0.022595940484089375,0.02487187636425186,10000,67906.0,1.1886258772425168e-181,0.8710758990190104,84.83412322274881,1.7603249830737984,Transformer minus classical,negative,8.320381140697618e-181,True
