dataset,signature_id,T_total,T_train,T_val,T_test,n_params,trans_train_time_s,trans_train_mem_KB,trans_n_epochs,trans_infer_time_s,trans_infer_time_ms_per_step,trans_infer_mem_KB,arima_fit_time_s,arima_fit_mem_KB,arima_infer_time_s,arima_infer_time_ms_per_step,arima_infer_mem_KB,sma_infer_time_s,sma_infer_time_ms_per_step,sma_infer_mem_KB,ewma_infer_time_s,ewma_infer_time_ms_per_step,ewma_infer_mem_KB,last_infer_time_s,last_infer_time_ms_per_step,last_infer_mem_KB
mozilla-beta,3892377,994,596,199,199,8641,0.8242,380.0,20,0.13553,0.6811,12.0,0.1219,0.0,1.0325,5.189,0.0,0.010903,0.0548,0.0,0.007421,0.0373,0.0,0.007517,0.0378,0.0
mozilla-beta,3892379,994,596,199,199,8641,0.8471,0.0,20,0.134187,0.6743,4.0,0.125,0.0,1.0836,5.445,0.0,0.01173,0.0589,0.0,0.008024,0.0403,0.0,0.008097,0.0407,0.0
mozilla-beta,3892381,994,596,199,199,8641,0.8018,0.0,20,0.160367,0.8059,4.0,0.139,0.0,1.2055,6.058,0.0,0.013797,0.0693,0.0,0.009593,0.0482,0.0,0.009453,0.0475,0.0
mozilla-beta,3892382,994,596,199,199,8641,0.9807,380.0,20,0.169429,0.8514,12.0,0.1201,0.0,1.0778,5.416,0.0,0.010793,0.0542,0.0,0.00734,0.0369,0.0,0.007417,0.0373,0.0
mozilla-beta,3892383,994,596,199,199,8641,0.8115,0.0,20,0.153841,0.7731,4.0,0.0821,0.0,1.0056,5.053,0.0,0.010666,0.0536,0.0,0.008055,0.0405,0.0,0.007729,0.0388,0.0
mozilla-beta,3892384,994,596,199,199,8641,0.783,0.0,20,0.158842,0.7982,4.0,0.1396,0.0,1.0117,5.084,0.0,0.010745,0.054,0.0,0.007392,0.0371,0.0,0.007629,0.0383,0.0
mozilla-beta,3892385,994,596,199,199,8641,0.7763,380.0,17,0.166592,0.8371,12.0,0.0812,0.0,1.063,5.342,0.0,0.010724,0.0539,0.0,0.007558,0.038,0.0,0.007424,0.0373,0.0
mozilla-beta,2170640,981,589,196,196,8641,0.809,0.0,20,0.169479,0.8647,4.0,0.0736,0.0,0.9743,4.971,0.0,0.010449,0.0533,0.0,0.007176,0.0366,0.0,0.007263,0.0371,0.0
mozilla-beta,1702161,977,586,195,196,8641,0.7828,0.0,20,0.168352,0.8589,4.0,0.0552,0.0,1.0004,5.104,0.0,0.010501,0.0536,0.0,0.007698,0.0393,0.0,0.007436,0.0379,0.0
mozilla-beta,4381612,974,584,195,195,8641,0.7688,32.0,20,0.159787,0.8194,12.0,0.1046,0.0,1.0974,5.627,0.0,0.011071,0.0568,0.0,0.007577,0.0389,0.0,0.007612,0.039,0.0
